CSIT110M
CIS116M
CSIT115M
CSIT120M
CIS110M
CSIT210M
(CSIT215M, CSIT217M)
CSIT220M
(CSIT227M, CSIT228M)
CSIT229M
(CSCN290M, CIS291M)
